GDA	Gda
CCDC81	Ccdc81
SPTSSB	Sptssb
CCDC80	Ccdc80
CCDC153	Ccdc153
SPTSSA	Sptssa
CCDC154	Ccdc154
CCDC155	Ccdc155
CCDC157	Ccdc157
TNNI3	Tnni3
OVOS2	A2ml1
CCDC158	Ccdc158
DCSTAMP	Dcstamp
TNNI1	Tnni1
GCFC2	Gcfc2
CCDC159	Ccdc159
GCFC1	Gcfc1
TNNI2	Tnni2
CLGN	Clgn
CCDC150	Ccdc150
CCDC152	Ccdc152
CCDC151	Ccdc151
ZNF385B	Zfp385b
CYP8B1	Cyp8b1
ZNF385A	Zfp385a
CCDC78	Ccdc78
CCDC79	Ccdc79
GAS2L3	Gas2l3
DPP3	Dpp3
HNF1B	Hnf1b
HNF1A	Hnf1a
CCDC189	Ccdc189
CCDC186	Ccdc186
CLNK	Clnk
DYNLL1	Dynll1
P4HA2	P4ha2
DYNLL2	Dynll2
P4HA1	P4ha1
P4HA3	P4ha3
CCDC184	Ccdc184
SPG20	Spg20
CCDC185	Ccdc185
SPG21	Spg21
CCDC182	Ccdc182
DPP8	Dpp8
CCDC183	Ccdc183
DPP9	Dpp9
CCDC180	E230008N13Rik
DPP6	Dpp6
CCDC181	Ccdc181
DPP7	Dpp7
DPP4	Dpp4
CCDC179	1700015G11Rik
CLN3	Cln3
CLMP	Clmp
CCDC175	Ccdc175
OTUD6A	Otud6a
CLMN	Clmn
CCDC178	Ccdc178
CCDC177	Ccdc177
NECTIN1	Nectin1
TPX2	Tpx2
NECTIN2	Nectin2
NECTIN3	Nectin3
NECTIN4	Nectin4
MAPK1IP1L	Mapk1ip1l
DARS2	Dars2
MXD1	Mxd1
MXD3	Mxd3
MXD4	Mxd4
CCDC171	Ccdc171
NAIF1	Naif1
CCDC172	Ccdc172
CCDC173	Ccdc173
CCDC174	Ccdc174
CLN8	Cln8
CLN5	Cln5
CCDC170	Ccdc170
CLN6	Cln6
REPS2	Reps2
REPS1	Reps1
GPAA1	Gpaa1
MYOM2	Myom2
MYOM3	Myom3
MYOM1	Myom1
SLCO3A1	Slco3a1
GFRAL	Gfral
FADS1	Fads1
AMACR	Amacr
FADS3	Fads3
PDZRN4	Pdzrn4
FADS2	Fads2
PDZRN3	Pdzrn3
KANK3	Kank3
KANK4	Kank4
FADS6	Fads6
DPM1	Dpm1
GAS2L2	Gas2l2
NLRP12	Nlrp12
CCDC190	Ccdc190
DPM2	Dpm2
GFRA1	Gfra1
GAS2L1	Gas2l1
CHTF18	Chtf18
CCDC191	2610015P09Rik
DPM3	Dpm3
NLRP14	Nlrp14
AACS	Aacs
GFRA4	Gfra4
SSR4	Ssr4
SPG11	Spg11
SSR2	Ssr2
GFRA2	Gfra2
NLRP10	Nlrp10
GFRA3	Gfra3
SSR3	Ssr3
STK33	Stk33
RNMT	Rnmt
STK31	Stk31
STK38	Stk38
TNNC2	Tnnc2
TNNC1	Tnnc1
STK36	Stk36
STK35	Stk35
MTHFD1L	Mthfd1l
KANK1	Kank1
KANK2	Kank2
VCL	Vcl
AAK1	Aak1
STK39	Stk39
IDUA	Idua
MCART6	Mcart6
RNLS	Rnls
NUDT2	Nudt2
NUDT1	Nudt1
CHAC2	Chac2
STK25	Stk25
NUDT4	Nudt4
CHAC1	Chac1
STK24	Stk24
NUDT3	Nudt3
NUDT6	Nudt6
STK26	Stk26
NUDT5	Nudt5
MCART1	Mcart1
DIS3L	Dis3l
PODXL2	Podxl2
C16orf13	0610011F06Rik
STK16	Stk16
STK11	Stk11
OTUD6B	Otud6b
STK10	Stk10
OPN1SW	Opn1sw
C16orf48	E130303B06Rik
VDR	Vdr
C16orf45	2900011O08Rik
C16orf46	1700030J22Rik
TCERG1	Tcerg1
OVOL2	Ovol2
OVOL3	Ovol3
C16orf42	0610007P22Rik
OVOL1	Ovol1
OTUD7B	Otud7b
GRPR	Grpr
OTUD7A	Otud7a
DOPEY2	Dopey2
SSX5	Gm14459
DOPEY1	Dopey1
SSX2	Gm5751
STK19	Stk19
SSX1	Ssxb6
SMCHD1	Smchd1
FEZF1	Fezf1
FEZF2	Fezf2
ST7L	St7l
VCP	Vcp
DPH5	Dph5
DPH6	Dph6
DPH7	Dph7
UCHL1	Uchl1
DPH1	Dph1
DPH2	Dph2
DPH3	Dph3
VGF	Vgf
ZFYVE20	Zfyve20
ZFYVE21	Zfyve21
AKR1C3	Akr1c18
CCDC103	Ccdc103
AKR1C2	Akr1c21
CCDC105	Ccdc105
AKR1C4	Akr1c6
ZFYVE19	Zfyve19
CCDC104	Ccdc104
ZFYVE16	Zfyve16
CCDC101	Ccdc101
CCDC107	Ccdc107
CCDC106	Ccdc106
AKR1C1	Akr1c21
CCDC108	Ccdc108
LPIN2	Lpin2
LPIN1	Lpin1
LPIN3	Lpin3
TARBP1	Gm17296
RECQL	Recql
TARBP2	Tarbp2
ZFYVE27	Zfyve27
ZFYVE26	Zfyve26
ZFYVE28	Zfyve28
UCHL5	Uchl5
AAMP	Aamp
UCHL3	Uchl3
AKR1D1	Akr1d1
ACVR1	Acvr1
VIP	Vip
DPF2	Dpf2
DPF3	Dpf3
VIM	Vim
RNH1	Rnh1
TSPYL4	Tspyl4
TSPYL5	Tspyl5
DPF1	Dpf1
CCDC121	Ccdc121
TSC22D1	Tsc22d1
TSPYL1	Tspyl1
CCDC120	Ccdc120
TSC22D3	Tsc22d3
CCDC122	Ccdc122
TSPYL2	Tspyl2
TSC22D2	Tsc22d2
AKR1A1	Akr1a1
CCDC125	Ccdc125
MCMDC2	Mcmdc2
NUDT9	Nudt9
TSC22D4	Tsc22d4
CCDC124	Ccdc124
FTHL17	Fthl17
NUDT8	Nudt8
CCDC127	Ccdc127
HMGXB4	Hmgxb4
CCDC126	Ccdc126
NUDT7	Nudt7
CCDC129	Ccdc129
PAFAH1B3	Pafah1b3
HMGXB3	Hmgxb3
PAFAH1B1	Pafah1b1
PAFAH1B2	Pafah1b2
MTHFD2L	Mthfd2l
BOLA3	Bola3
VHL	Vhl
IDO2	Ido2
RCAN1	Rcan1
IDO1	Ido1
RCAN3	Rcan3
RCAN2	Rcan2
IDNK	Idnk
CCDC112	Ccdc112
CCDC111	Ccdc111
CCDC110	Ccdc110
CCDC116	Ccdc116
SNED1	Sned1
CCDC115	Ccdc115
CCDC114	Ccdc114
CCDC113	Ccdc113
CCDC117	Ccdc117
BOLA1	Bola1
MRPL40	Mrpl40
LYPD2	Lypd2
CYP24A1	Cyp24a1
LYPD1	Lypd1
LYPD4	Lypd4
MRPL42	Mrpl42
LYPD3	Lypd3
MRPL41	Mrpl41
AAR2	Aar2
STAR	Star
LYPD6	Lypd6
LYPD5	Lypd5
LYPD8	Lypd8
EPT1	Ept1
TPK1	Tpk1
N4BP2L2	N4bp2l2
SFSWAP	Sfswap
RIMBP3B	Rimbp3
STAC	Stac
N4BP2L1	N4bp2l1
AARD	Aard
MRPL36	Mrpl36
MRPL37	Mrpl37
MRPL38	Mrpl38
STAM	Stam
MRPL39	Mrpl39
MRPL32	Mrpl32
MRPL33	Mrpl33
MRPL34	Mrpl34
MRPL35	Mrpl35
MRPL53	Mrpl53
MRPL52	Mrpl52
MRPL51	Mrpl51
MRPL50	Mrpl50
STC2	Stc2
NKX2-6	Nkx2-6
NKX2-8	Nkx2-9
AARS	Aars
DPCD	Dpcd
CEP350	Cep350
MRPL49	Mrpl49
STC1	Stc1
MRPL47	Mrpl47
MRPL48	Mrpl48
MRPL45	Mrpl45
MRPL46	Mrpl46
MRPL43	Mrpl43
MRPL44	Mrpl44
BSPH1	Bsph1
DENND2A	Dennd2a
DENND2D	Dennd2d
DENND2C	Dennd2c
TPI1	Tpi1
FRG1	Frg1
MRPL54	Mrpl54
NKX2-1	Nkx2-1
MRPL55	Mrpl55
LGSN	Lgsn
ZMPSTE24	Zmpste24
MRPL57	Mrpl57
MRPL58	Mrpl58
NKX2-4	Nkx2-4
NKX2-5	Nkx2-5
NKX2-2	Nkx2-2
NKX2-3	Nkx2-3
AKR1E2	Akr1e1
SLAMF9	Slamf9
SLAMF6	Slamf6
ARFIP2	Arfip2
DENND1A	Dennd1a
EPRS	Eprs
DALRD3	Dalrd3
SLAMF8	Slamf8
MYOZ1	Myoz1
SLAMF7	Slamf7
MYOZ2	Myoz2
ARFIP1	Arfip1
MYOZ3	Myoz3
SLAMF1	Slamf1
DENND1C	Dennd1c
C1orf151-NBL1	Nbl1
DENND1B	Dennd1b
EPS8	Eps8
SETSIP	Set
POF1B	Pof1b
WASF3	Wasf3
WASF1	Wasf1
WASF2	Wasf2
TOP2B	Top2b
TSEN2	Tsen2
TOP2A	Top2a
CDPF1	Cdpf1
SIAH3	Siah3
TOP3A	Top3a
GPA33	Gpa33
CNEP1R1	Cnep1r1
SIAH1	Siah1a
SIAH2	Siah2
TPH1	Tph1
EPYC	Epyc
DENND3	Dennd3
TOP3B	Top3b
TPH2	Tph2
ETFBKMT	Etfbkmt
WASH1	ORF19
UNG	Ung
AASS	Aass
MRPL20	Mrpl20
CHADL	Chadl
MRPL11	Mrpl11
MRPL10	Mrpl10
MRPL13	Mrpl13
MRPL12	Mrpl12
STK40	Stk40
MRPL15	Mrpl15
MRPL14	Mrpl14
MRPL17	Mrpl17
MRPL16	Mrpl16
MRPL19	Mrpl19
MRPL18	Mrpl18
AATF	Aatf
UNK	Unk
AATK	Aatk
MRPL30	Mrpl30
MRPL24	Mrpl24
MRPL23	Mrpl23
MRPL22	Mrpl22
MRPL21	Mrpl21
MRPL28	Mrpl28
MRPL27	Mrpl27
LURAP1L	Lurap1l
STIL	Stil
LGMN	Lgmn
CLYBL	Clybl
STARD3	Stard3
STARD5	Stard5
DIRC2	Dirc2
STARD4	Stard4
STARD7	Stard7
STARD6	Stard6
STARD9	Stard9
STARD8	Stard8
TPT1	Tpt1
C10orf26	D19Wsu162e
C10orf27	Tbata
C10orf28	D19Ertd386e
PCDHGA12	Pcdhga12
PCDHGA10	Pcdhga10
PCDHGA11	Pcdhga11
SPARCL1	Sparcl1
GSE1	Gse1
STK4	Stk4
STK3	Stk3
TPTE	Tpte
TNNT2	Tnnt2
TNNT3	Tnnt3
TNNT1	Tnnt1
SKIDA1	Skida1
ANOS1	Wfdc18
C10orf35	2010107G23Rik
C10orf32	2010012O05Rik
PRPS2	Prps2
PRPS1	Prps1
ZFAND6	Zfand6
EFCAB9	Efcab9
ZFAND5	Zfand5
ZFAND4	Zfand4
C10orf53	1700024G13Rik
ZFAND3	Zfand3
EFCAB7	Efcab7
EFCAB6	Efcab6
EFCAB5	Efcab5
EFCAB3	Efcab3
GSAP	Gsap
EPHA10	Epha10
ZFAND1	Zfand1
B3GNT9	B3gnt9
KIAA2012	Gm973
B3GNT8	B3gnt8
PPP1R16B	Ppp1r16b
KIAA2013	2510039O18Rik
B3GNT5	B3gnt5
B3GNT4	B3gnt4
PPP1R16A	Ppp1r16a
B3GNT7	B3gnt7
B3GNT6	B3gnt6
HARS2	Hars2
C10orf47	5430407P10Rik
EFCAB1	Efcab1
B3GNT1	B3gnt1
EFCAB2	Efcab2
B3GNT3	B3gnt3
B3GNT2	B3gnt2
C10orf46	2700078E11Rik
C10orf62	4933411K16Rik
UST	Ust
ATAD2	Atad2
ATAD5	Atad5
GSC2	Gsc2
KIAA2018	Gm608
ATAD1	Atad1
KIAA2022	C77370
SMC1A	Smc1a
C10orf57	Gm9746
C10orf54	4632428N05Rik
TPRN	Tprn
SMC1B	Smc1b
PPP1R14D	Ppp1r14d
STN1	Stn1
C10orf71	3425401B19Rik
LGR6	Lgr6
LGR5	Lgr5
LGR4	Lgr4
C10orf67	4921504E06Rik
TPP1	Tpp1
TPP2	Tpp2
NCKIPSD	Nckipsd
PPP1R14C	Ppp1r14c
PPP1R14B	Ppp1r14b
PPP1R14A	Ppp1r14a
FAM149A	Fam149a
ALDH5A1	Aldh5a1
RIMBP3	Rimbp3
GPRASP2	Gprasp2
GPRASP1	Gprasp1
RIMBP2	Rimbp2
C10orf81	9930023K05Rik
DYNLT3	Dynlt3
C10orf82	1700019N19Rik
STOM	Stom
C10orf76	9130011E15Rik
ZPBP2	Zpbp2
TPPP	Tppp
PPP1R15B	Ppp1r15b
PPP1R15A	Ppp1r15a
INPP1	Inpp1
PPP1R12B	Ppp1r12b
PPP1R12C	Ppp1r12c
SPRR2G	Sprr2a1
SPRR2F	Sprr2f
C10orf96	1700011F14Rik
SPRR2E	Sprr2e
TPM2	Tpm2
POU1F1	Pou1f1
C10orf90	D7Ertd443e
TPM1	Tpm1
TPM4	Tpm4
TPM3	Tpm3
DDHD2	Ddhd2
RGS10	Rgs10
RGS11	Rgs11
DDHD1	Ddhd1
RGS12	Rgs12
C10orf88	2310057M21Rik
SPRR2D	Sprr2d
PPP1R12A	Ppp1r12a
ALYREF	Alyref
RGS19	Rgs19
UNC119B	Unc119b
RGS18	Rgs18
RGS17	Rgs17
RGS16	Rgs16
TPMT	Tpmt
PPP1R13L	Ppp1r13l
GSG2	Gsg2
RGS14	Rgs14
GSG1	Gsg1
RGS13	Rgs13
RGS22	Rgs22
RGS20	Rgs20
RGS21	Rgs21
SRFBP1	Srfbp1
SPRR1A	Sprr1a
SPRR1B	Sprr1b
CKS2	Cks2
PPP1R13B	Ppp1r13b
VPRBP	Vprbp
RCE1	Rce1
FLJ22184	BC068157
MAMSTR	Mamstr
PPAPDC3	Ppapdc3
PPAPDC2	Ppapdc2
PDHA2	Pdha2
PDHA1	Pdha1
IKBKAP	Ikbkap
PCBD2	Pcbd2
NDNL2	Ndnl2
PCBD1	Pcbd1
TMIE	Tmie
MFSD13A	Mfsd13a
DOC2A	Doc2a
RCC2	Rcc2
DOC2B	Doc2b
UNCX	Uncx
AMTN	Amtn
DUSP10	Dusp10
DUSP12	Dusp12
FAM19A2	Fam19a2
FAM19A1	Fam19a1
DUSP11	Dusp11
MYBL1	Mybl1
RCC1	Rcc1
MYBL2	Mybl2
FAM19A4	Fam19a4
FAM19A3	Fam19a3
FAM19A5	Fam19a5
DUSP18	Dusp18
DUSP19	Dusp19
DUSP13	Dusp13
DUSP14	Dusp14
DUSP15	Dusp15
DUSP16	Dusp16
ALDH4A1	Aldh4a1
LFNG	Lfng
SPPL3	Sppl3
CYP46A1	Cyp46a1
DUSP23	Dusp23
DUSP22	Dusp22
DUSP21	Dusp21
HBA1	Hba-a1
PRPSAP1	Prpsap1
PRPSAP2	Prpsap2
DUSP28	Dusp28
CDC42BPG	Cdc42bpg
DUSP26	Dusp26
DUSP27	Dusp27
CDC42BPA	Cdc42bpa
IGFL3	Igfl3
TRAFD1	Trafd1
CDC42BPB	Cdc42bpb
U2SURP	U2surp
SIMC1	Simc1
SMAP2	Smap2
SMAP1	Smap1
EVI5	Evi5
IL1RAP	Il1rap
BHLHE41	Bhlhe41
SDK2	Sdk2
SDK1	Sdk1
IGFN1	Igfn1
PLXDC1	Plxdc1
PLXDC2	Plxdc2
UROC1	Uroc1
PRHOXNB	Prhoxnb
ABHD8	Abhd8
MFSD14A	Mfsd14a
ABHD6	Abhd6
MFSD14B	Mfsd14b
ABHD5	Abhd5
ABHD4	Abhd4
ABHD3	Abhd3
DPYS	Dpys
AZIN1	Azin1
ABHD2	Abhd2
ABHD1	Abhd1
TRIM6-TRIM34	Trim34a
AZIN2	Azin2
AMPH	Amph
DDX19A	Ddx19a
DDX19B	Ddx19b
PKD2	Pkd2
PKD1	Pkd1
CNST	Cnst
AIMP1	Aimp1
AIMP2	Aimp2
SDHA	Sdha
SDHB	Sdhb
CNTF	Cntf
SDHC	Sdhc
BNC2	Bnc2
BNC1	Bnc1
SDHD	Sdhd
SLFN12	Slfn4
AMOT	Amot
SECISBP2L	Secisbp2l
DPYD	Dpyd
SLFN14	Slfn14
RUBCNL	Rubcnl
GNA13	Gna13
MPZL3	Mpzl3
GNA14	Gna14
GPAT4	Gpat4
GNA15	Gna15
MPZL1	Mpzl1
MPZL2	Mpzl2
GNA11	Gna11
GNA12	Gna12
PRKCSH	Prkcsh
GPAT2	Gpat2
GPAT3	Gpat3
TAMM41	Tamm41
PACSIN1	Pacsin1
PACSIN3	Pacsin3
PACSIN2	Pacsin2
COCH	Coch
ZNF8	Zfp128
ZNF7	Zfp7
ZNF3	Zfp113
TMA7	Tma7
ZNF2	Zfp661
RCL1	Rcl1
EVC2	Evc2
TIMELESS	Timeless
AMN1	Amn1
SSC5D	Ssc5d
COBL	Cobl
TM4SF19	Tm4sf19
15-Sep	15-Sep
CXXC4	Cxxc4
CXXC5	Cxxc5
CXXC1	Cxxc1
PRUNE2	Prune2
DPCR1	Dpcr1
SSC4D	Ssc4d
SDF4	Sdf4
UNKL	Unkl
PRUNE1	Prune1
ERCC6L	Ercc6l
SDF2	Sdf2
THSD7B	Thsd7b
PAGR1	Pagr1a
THSD7A	Thsd7a
COA5	Coa5
THSD1	Thsd1
COA6	Coa6
COA7	Coa7
THSD4	Thsd4
MILR1	Milr1
TM4SF20	Tm4sf20
SDE2	Sde2
E2F1	E2f1
E2F2	E2f2
E2F3	E2f3
CHURC1	Churc1
SLURP1	Slurp1
E2F4	E2f4
COA3	Coa3
E2F5	E2f5
COA4	Coa4
E2F6	E2f6
E2F7	E2f7
E2F8	E2f8
SDC4	Sdc4
SDC2	Sdc2
SDC3	Sdc3
TMF1	Tmf1
SH2D4A	Sh2d4a
SH2D4B	Sh2d4b
SMAGP	Smagp
ZFPL1	Zfpl1
TBL1XR1	Tbl1xr1
SSBP4	Ssbp4
SSBP3	Ssbp3
SSBP2	Ssbp2
SSBP1	Ssbp1
HOXC10	Hoxc10
LYPD6B	Lypd6b
SH2D3C	Sh2d3c
HOXC12	Hoxc12
SDC1	Sdc1
HOXC11	Hoxc11
HOXC13	Hoxc13
HBG1	Hbb-bh1
ZFPM2	Zfpm2
HBG2	Hbb-y
ZFPM1	Zfpm1
L3HYPDH	L3hypdh
TGFBR3L	Tgfbr3l
APPBP2	Appbp2
TMC7	Tmc7
TMC6	Tmc6
TMC8	Tmc8
TMC3	Tmc3
TMC2	Tmc2
NFRKB	Nfrkb
TMC5	Tmc5
TMC4	Tmc4
BCS1L	Bcs1l
TMC1	Tmc1
SDR42E1	Sdr42e1
UCKL1	Uckl1
HBE1	Hbb-y
RCN3	Rcn3
RCN1	Rcn1
RCN2	Rcn2
GPR128	Gpr128
GPR126	Gpr126
GPR125	Gpr125
GPR124	Gpr124
GPR123	Gpr123
HS2ST1	Hs2st1
ZFP92	Zfp92
ZFP91	Zfp91
ZFP90	Zfp90
WNK4	Wnk4
AAGAB	Aagab
PELI2	Peli2
PELI3	Peli3
GPR137	Gpr137
GPR139	Gpr139
GPR133	Gpr133
GPR135	Gpr135
FAM192A	Fam192a
WNK1	Wnk1
TIMD4	Timd4
GPR132	Gpr132
WNK3	Wnk3
WNK2	Wnk2
VEGFB	Vegfb
ZFP82	Zfp82
VEGFC	Vegfc
VEGFD	Vegfd
COLQ	Colq
HAS1	Has1
VEGFA	Vegfa
HARS	Hars
HAS2	Has2
HAS3	Has3
TGFB1I1	Tgfb1i1
AMFR	Amfr
SUDS3	Suds3
TMX2	Tmx2
KAZN	Kazn
RBP4	Rbp4
TMX1	Tmx1
GPR146	Gpr146
RBP7	Rbp7
RBP1	Rbp1
TMX4	Tmx4
RBP3	Rbp3
GPR149	Gpr149
TMX3	Tmx3
RBP2	Rbp2
HUS1	Hus1
OAS3	Oas3
STK17B	Stk17b
HOXB13	Hoxb13
OAS2	Oas2
GPR143	Gpr143
COIL	Coil
GPR142	Gpr142
GPR141	Gpr141
CRMP1	Crmp1
AMD1	Amd2
HAP1	Hap1
COL18A1	Col18a1
GPR156	Gpr156
GPR155	Gpr155
GPR158	Gpr158
PELI1	Peli1
GPR157	Gpr157
IL1RL1	Il1rl1
IL1RL2	Il1rl2
CIDEB	Cideb
CIDEA	Cidea
FAM190B	Gcap14
GPR150	Gpr150
OXSR1	Oxsr1
GPR152	Gpr152
GPR151	Gpr151
NOP10	Nop10
FAM190A	Fam190a
CIDEC	Cidec
GPR153	Gpr153
NOP14	Nop14
OASL	Oasl1
NADKD1	1110020G09Rik
NOP16	Nop16
RBPJ	Rbpj
GPR162	Gpr162
ZFP41	Zfp41
GPR160	Gpr160
EVX1	Evx1
MYBPC2	Mybpc2
EVX2	Evx2
GREB1	Greb1
MYBPC1	Mybpc1
GPR161	Gpr161
ZFP42	Zfp42
MYBPC3	Mybpc3
LOC100132731	Gm19618
TRMT10A	Trmt10a
TRMT10B	Trmt10b
ANPEP	Anpep
TRMT10C	Trmt10c
FAM195A	Fam195a
FAM195B	Fam195b
VILL	Vill
FLT3LG	Flt3l
HAMP	Hamp
CCL3L1	Ccl3
CCL3L3	Ccl3
ETAA1	Etaa1
FCGR3A	Fcgr4
FCGR3B	Fcgr4
GPR173	Gpr173
ZFP36	Zfp36
GPR174	Gpr174
GPR176	Gpr176
ZFP30	Zfp30
GPR171	Gpr171
VIL1	Vil1
FAM196A	Fam196a
FAM196B	Fam196b
GPR179	Gpr179
ZFP37	Zfp37
HAO1	Hao1
AMBP	Ambp
AMBN	Ambn
HAO2	Hao2
GPR182	Gpr182
GPR183	Gpr183
ZFP62	Zfp62
GPR180	Gpr180
ZFP64	Zfp64
ZFP69	Zfp69
FAM193A	Fam193a
FAM193B	Fam193b
COL3A1	Col3a1
NETO1	Neto1
RBSN	Rbsn
FCGR1A	Fcgr1
ZFP57	Zfp57
NOP53	Gltscr2
SCXB	Scx
FAM194A	Fam194a
COG3	Cog3
COG4	Cog4
COG5	Cog5
COG6	Cog6
FCGR2B	Fcgr2b
COG7	Cog7
COG8	Cog8
RPL7L1	Rpl7l1
NOP58	Nop58
FCGR2A	Fcgr3
NOP56	Nop56
TRMT112	Trmt112
COG1	Cog1
COG2	Cog2
MKRN1	Mkrn1
PDGFB	Pdgfb
PDGFA	Pdgfa
FAM199X	Fam199x
DDX26B	Ddx26b
MKRN3	Mkrn3
SCTR	Sctr
MKRN2	Mkrn2
WNT2	Wnt2
WNT1	Wnt1
WNT4	Wnt4
WNT3	Wnt3
MCOLN3	Mcoln3
LGI4	Lgi4
RC3H2	Rc3h2
LMNTD1	Lmntd1
MCOLN1	Mcoln1
PDGFC	Pdgfc
LGI3	Lgi3
LMNTD2	Lmntd2
LGI2	Lgi2
PDGFD	Pdgfd
MCOLN2	Mcoln2
LGI1	Lgi1
WNT6	Wnt6
RC3H1	Rc3h1
SLCO4A1	Slco4a1
DRAXIN	Draxin
NAPSA	Napsa
MYBPHL	Mybphl
OPHN1	Ophn1
MAP7D1	Map7d1
MAP7D2	Map7d2
MAP7D3	Map7d3
GAL3ST2	Gm9994
GAL3ST3	Gal3st3
GAL3ST4	Gal3st4
HAX1	Hax1
AGMAT	Agmat
GREM1	Grem1
GREM2	Grem2
KARS	Kars
RBX1	Rbx1
PELP1	Pelp1
BHLHE40	Bhlhe40
GAL3ST1	Gal3st1
PPTC7	Pptc7
SREBF1	Srebf1
KAT8	Kat8
KAT7	Kat7
SLCO4C1	Slco4c1
BHLHE23	Bhlhe23
BHLHE22	Bhlhe22
KAT5	Kat5
SREBF2	Srebf2
SLC4A10	Slc4a10
FAM198B	Fam198b
SLC4A11	Slc4a11
FAM198A	Fam198a
TMPO	Tmpo
CORT	Cort
DNAL1	Dnalc1
CCNDBP1	Ccndbp1
DNAL4	Dnalc4
POU6F1	Pou6f1
COPA	Copa
LRIT3	Lrit3
LRIT2	Lrit2
LRIT1	Lrit1
POU6F2	Pou6f2
HUS1B	Hus1b
PCBP3	Pcbp3
PCBP4	Pcbp4
PCBP1	Pcbp1
PCBP2	Pcbp2
ALX4	Alx4
MAPKBP1	Mapkbp1
ALX3	Alx3
ALX1	Alx1
COQ9	Coq9
TBCEL	Tbcel
DNAI2	Dnaic2
COQ7	Coq7
COQ5	Coq5
COQ6	Coq6
COQ4	Coq4
COQ3	Coq3
COQ2	Coq2
NPTXR	Nptxr
EVPL	Evpl
OR4K15	Olfr727
KRTAP1-1	Krtap1-4
KRTAP1-3	Krtap9-3
KRTAP1-4	Krtap14
COPE	Cope
CPLX4	Cplx4
CPLX3	Cplx3
GPR108	Gpr108
DNAH9	Dnahc9
CPLX2	Cplx2
CPLX1	Cplx1
DNAH3	Dnahc3
HAT1	Hat1
DNAH1	Dnahc1
DNAH2	Dnahc2
COMT	Comt
DNAH7	Dnahc7a
DNAH8	Dnahc8
DNAH5	Dnahc5
DNAH6	Dnahc6
NPTX1	Nptx1
DNAI1	Dnaic1
NPTX2	Nptx2
COMP	Comp
GPR101	Gpr101
MAGEA10	Magea10
SCO2	Sco2
GPR107	Gpr107
SCO1	Sco1
GPR119	Gpr119
SVEP1	Svep1
SCOC	Scoc
GPR110	Gpr110
GPR113	Gpr113
GPR114	Gpr114
GPR111	Gpr111
GPR112	Gpr112
SCP2	Scp2
GPR115	Gpr115
GPR116	Gpr116
HCCS	Hccs
ALS2	Als2
CROCC	Crocc
DQX1	Dqx1
AGXT2L2	Agxt2l2
ERO1LB	Ero1lb
AGXT2L1	Agxt2l1
SH3BGR	Sh3bgr
TNIK	Tnik
DCDC2	Dcdc2a
DCDC5	Dcdc5
WFDC8	Wfdc8
WFDC9	Wfdc9
IFNB1	Ifnb1
RDBP	Rdbp
WFDC1	Wfdc1
WFDC5	Wfdc5
IRAK1BP1	Irak1bp1
WFDC2	Wfdc2
WFDC3	Wfdc3
GNAI3	Gnai3
GNAI2	Gnai2
GNAI1	Gnai1
CYP51A1	Cyp51
MIPOL1	Mipol1
IFNA1	Ifna13
CCDC102A	Ccdc102a
CDADC1	Cdadc1
LEO1	Leo1
TNKS	Tnks
RLBP1	Rlbp1
UPF3A	Upf3a
UPF3B	Upf3b
RAPSN	Rapsn
AVPR1B	Avpr1b
AVPR1A	Avpr1a
TCAF2	Tcaf2
C22orf13	1110038D17Rik
SLFNL1	Slfnl1
TCAF1	Tcaf1
TNK1	Tnk1
TNK2	Tnk2
C22orf32	1500032L24Rik
RDH8	Rdh8
C22orf28	D10Wsu52e
C22orf23	1700088E04Rik
C22orf25	D16H22S680E
GPIHBP1	Gpihbp1
CD200R1	Cd200r1
TNMD	Tnmd
C22orf40	2210021J22Rik
BBS12	Bbs12
BBS10	Bbs10
MYADM	Myadm
RDH5	Rdh5
C22orf39	2510002D24Rik
PJA2	Pja2
PJA1	Pja1
CCDC109B	Ccdc109b
PGGHG	Pgghg
TRUB1	Trub1
TRUB2	Trub2
ALPL	Alpl
ALPI	Akp3
SMTNL2	Smtnl2
QTRT2	Qtrtd1
SMTNL1	Smtnl1
QTRT1	Qtrt1
ALPP	Alppl2
CCL28	Ccl28
CCL26	Ccl26
CCL24	Ccl24
CCL25	Ccl25
C22orf46	4930407I10Rik
CCL22	Ccl22
CCL23	Ccl9
CCL20	Ccl20
HGFAC	Hgfac
SELP	Selp
SELO	1300018J18Rik
SELM	Selm
SELL	Sell
SELK	Selk
PAK1IP1	Pak1ip1
TNP1	Tnp1
CCL19	Ccl19
SPATA5L1	Spata5l1
RICTOR	Rictor
SELV	BC089491
SELT	2810407C02Rik
SELS	H47
TNP2	Tnp2
CCL17	Ccl17
RPS6KA5	Rps6ka5
CCL11	Ccl11
PKNOX2	Pknox2
VAT1L	Vat1l
RPS6KA6	Rps6ka6
CCL13	Ccl2
RPS6KA3	Rps6ka3
RPS6KA4	Rps6ka4
PKNOX1	Pknox1
RPS6KA1	Rps6ka1
RPS6KA2	Rps6ka2
SELE	Sele
BARD1	Bard1
RPS6KB2	Rps6kb2
RPS6KB1	Rps6kb1
C12orf5	9630033F20Rik
C12orf4	D6Wsu163e
IFNL2	Ifnl2
IFNL3	Ifnl3
RDM1	Rdm1
GNB1L	Gnb1l
RPS6KC1	Rps6kc1
PISD	Pisd
TRABD	Trabd
OGFRL1	Ogfrl1
